station,termin,prestas0,tre200s0,rre150z0,fkl010z1,ua2200s0,ta1200s0,ta2200s0,ra1150z0,ua1200s0,fkl010z0,dkl010z0,gor000z0,uor200s0,da1010z0,fa1010z0,pa1stas0,ycoml1s0,ycomirs0
10769,20210801150000,661.70,6.10,None,None,None,None,None,None,None,0.60,314.00,88.00,92.60,None,None,None,None,1.00
10769,20210801160000,661.80,5.00,None,None,None,None,None,None,None,3.30,267.00,0.00,79.40,None,None,None,None,1.00
10769,20210801170000,661.80,4.10,None,None,None,None,None,None,None,3.90,188.00,0.00,73.40,None,None,None,None,1.00
10769,20210801180000,662.30,5.30,None,None,None,None,None,None,None,0.80,217.00,0.00,67.60,None,None,None,None,1.00
10769,20210801190000,662.30,5.00,None,None,None,None,None,None,None,1.70,269.00,0.00,72.80,None,None,None,None,1.00
10769,20210801200000,662.50,3.50,None,None,None,None,None,None,None,3.40,190.00,0.00,83.30,None,None,None,None,1.00
10769,20210801210000,662.30,4.20,None,None,None,None,None,None,None,1.70,234.00,0.00,80.60,None,None,None,None,1.00
10769,20210801220000,661.80,4.50,None,None,None,None,None,None,None,2.10,205.00,0.00,84.70,None,None,None,None,1.00
10769,20210801230000,661.40,4.60,None,None,None,None,None,None,None,3.60,243.00,0.00,88.60,None,None,None,None,1.00
10769,20210802000000,661.20,4.70,None,None,None,None,None,None,None,3.10,246.00,0.00,87.30,None,None,None,None,1.00
10769,20210802010000,661.10,4.30,None,None,None,None,None,None,None,2.60,285.00,0.00,89.90,None,None,None,None,1.00
10769,20210802020000,661.20,4.10,None,None,None,None,None,None,None,2.90,292.00,0.00,91.90,None,None,None,None,1.00
10769,20210802030000,661.60,4.20,None,None,None,None,None,None,None,1.60,231.00,0.00,90.40,None,None,None,None,1.00
10769,20210802040000,661.70,4.60,None,None,None,None,None,None,None,1.30,229.00,19.00,87.50,None,None,None,None,1.00
10769,20210802050000,662.30,5.70,None,None,None,None,None,None,None,2.20,260.00,106.00,87.00,None,None,None,None,1.00
10769,20210802060000,662.70,7.40,None,None,None,None,None,None,None,1.10,319.00,281.00,78.20,None,None,None,None,1.00
10769,20210802070000,663.10,7.90,None,None,None,None,None,None,None,2.70,353.00,402.00,81.60,None,None,None,None,1.00
10769,20210802080000,663.30,7.30,None,None,None,None,None,None,None,3.60,16.00,503.00,83.80,None,None,None,None,1.00
10769,20210802090000,663.10,6.00,None,None,None,None,None,None,None,2.30,13.00,472.00,95.90,None,None,None,None,1.00
10769,20210802100000,662.60,6.40,None,None,None,None,None,None,None,4.00,338.00,354.00,88.90,None,None,None,None,1.00
10769,20210802110000,662.10,7.60,None,None,None,None,None,None,None,3.70,307.00,501.00,79.20,None,None,None,None,1.00
10769,20210802120000,661.90,6.90,None,None,None,None,None,None,None,5.40,300.00,234.00,87.40,None,None,None,None,1.00
10769,20210802130000,661.80,6.20,None,None,None,None,None,None,None,3.20,356.00,75.00,91.60,None,None,None,None,1.00
10769,20210802140000,662.00,5.50,None,None,None,None,None,None,None,5.00,324.00,43.00,96.50,None,None,None,None,1.00
10769,20210802150000,662.30,5.40,None,None,None,None,None,None,None,3.80,328.00,81.00,97.00,None,None,None,None,1.00
10769,20210802160000,662.50,5.00,None,None,None,None,None,None,None,2.00,209.00,0.00,96.30,None,None,None,None,1.00
10769,20210802170000,662.50,4.50,None,None,None,None,None,None,None,1.20,219.00,0.00,83.20,None,None,None,None,1.00
10769,20210802180000,662.80,4.80,None,None,None,None,None,None,None,3.40,228.00,0.00,82.10,None,None,None,None,1.00
10769,20210802190000,662.90,3.20,None,None,None,None,None,None,None,4.10,220.00,0.00,90.30,None,None,None,None,1.00
10769,20210802200000,663.00,4.60,None,None,None,None,None,None,None,2.60,244.00,0.00,83.10,None,None,None,None,1.00
10769,20210802210000,662.60,4.50,None,None,None,None,None,None,None,3.00,228.00,0.00,86.90,None,None,None,None,1.00
10769,20210802220000,662.20,4.30,None,None,None,None,None,None,None,3.20,239.00,0.00,88.70,None,None,None,None,1.00
10769,20210802230000,661.60,4.20,None,None,None,None,None,None,None,5.60,180.00,0.00,85.40,None,None,None,None,1.00
