12:33:08   14.08.2022              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2020 00:00  -  31.12.2020 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
  10769	Mont Kenya              3678 m.ü.M.	     0/      0
Anzahl Parameter  6
    90  Luftdruck auf Barometerhöhe (QFE); Momentanwert  [hPa]
    91  Lufttemperatur 2 m über Boden; Momentanwert  [°C]
   196  Windgeschwindigkeit skalar; Zehnminutenmittel  [m/s]
   197  Windrichtung; Zehnminutenmittel  [°]
   321  Original Luftfeuchtigkeit 2 m über Boden; Momentanwert  [%]
   285  Original Globalstrahlung; Zehnminutenmittel  [W/m²]

  STA JAHR MO TG HH MM    90    91   196   197   321   285
10769 2020  2 13 19 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 19 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 19 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 19 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 19 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 20  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 20 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 20 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 20 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 20 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 20 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 21  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 21 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 21 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 21 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 21 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 21 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 22  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 22 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 22 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 22 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 22 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 22 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 23  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 23 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 23 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 23 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 23 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 13 23 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  0  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  0 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  0 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  0 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  0 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  0 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  1  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  1 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  1 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  1 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  1 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  1 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  2  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  2 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  2 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  2 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  2 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  2 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  3  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  3 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  3 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  3 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  3 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  3 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  4  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  4 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  4 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  4 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  4 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  4 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  5  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  5 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  5 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  5 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  5 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  5 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  6  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  6 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  6 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  6 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  6 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  6 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  7  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  7 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  7 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  7 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  7 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  7 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  8  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  8 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  8 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  8 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  8 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  8 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  9  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  9 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  9 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  9 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  9 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14  9 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 10  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 10 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 10 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 10 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 10 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 10 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 11  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 11 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 11 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 11 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 11 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 11 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 12  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 12 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 12 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 12 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 12 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 12 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 13  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 13 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 13 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 13 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 13 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 13 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 14  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 14 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 14 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 14 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 14 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 14 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 15  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 15 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 15 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 15 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 15 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 15 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 16  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 16 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 16 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 16 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 16 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 16 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 17  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 17 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 17 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 17 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 17 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 17 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 18  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 18 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 18 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 18 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 18 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 18 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 19  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 19 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 19 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 19 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 19 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 19 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 20  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 20 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 20 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 20 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 20 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 20 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 21  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 21 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 21 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 21 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 21 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 21 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 22  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 22 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 22 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 22 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 22 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 22 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 23  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 23 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 23 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 23 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 23 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 14 23 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  0  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  0 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  0 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  0 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  0 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  0 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  1  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  1 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  1 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  1 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  1 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  1 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  2  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  2 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  2 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  2 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  2 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  2 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  3  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  3 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  3 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  3 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  3 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  3 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  4  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  4 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  4 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  4 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  4 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  4 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  5  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  5 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  5 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  5 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  5 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  5 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  6  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  6 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  6 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  6 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  6 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  6 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  7  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  7 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  7 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  7 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  7 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  7 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  8  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  8 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  8 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  8 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  8 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  8 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  9  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  9 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  9 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  9 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  9 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15  9 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 10  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 10 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 10 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 10 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 10 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 10 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 11  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 11 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 11 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 11 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 11 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 11 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 12  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 12 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 12 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 12 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 12 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 12 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 13  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 13 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 13 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 13 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 13 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 13 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 14  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 14 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 14 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 14 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 14 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 14 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 15  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 15 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 15 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 15 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 15 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 15 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 16  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 16 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 16 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 16 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 16 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 16 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 17  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 17 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 17 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 17 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 17 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 17 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 18  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 18 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 18 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 18 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 18 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 18 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 19  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 19 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 19 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 19 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 19 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 19 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 20  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 20 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 20 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 20 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 20 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 20 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 21  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 21 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 21 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 21 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 21 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 21 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 22  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 22 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 22 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 22 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 22 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 22 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 23  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 23 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 23 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 23 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 23 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 15 23 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  0  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  0 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  0 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  0 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  0 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  0 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  1  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  1 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  1 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  1 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  1 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  1 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  2  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  2 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  2 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  2 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  2 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  2 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  3  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  3 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  3 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  3 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  3 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  3 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  4  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  4 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  4 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  4 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  4 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  4 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  5  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  5 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  5 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  5 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  5 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  5 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  6  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  6 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  6 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  6 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  6 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  6 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  7  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  7 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  7 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  7 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  7 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  7 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  8  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  8 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  8 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  8 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  8 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  8 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  9  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  9 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  9 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  9 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  9 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16  9 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 10  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 10 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 10 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 10 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 10 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 10 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 11  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 11 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 11 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 11 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 11 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 11 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 12  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 12 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 12 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 12 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 12 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 12 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 13  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 13 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 13 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 13 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 13 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 13 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 14  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 14 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 14 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 14 30 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 14 40 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 14 50 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 15  0 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 15 10 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 15 20 32767 32767 32767 32767 32767 32767 
10769 2020  2 16 15 30 32767 32767 32767 32767 32767 32767 
