12:33:08   14.08.2022              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2020 00:00  -  31.12.2020 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
  10769	Mont Kenya              3678 m.ü.M.	     0/      0
Anzahl Parameter  6
    90  Luftdruck auf Barometerhöhe (QFE); Momentanwert  [hPa]
    91  Lufttemperatur 2 m über Boden; Momentanwert  [°C]
   196  Windgeschwindigkeit skalar; Zehnminutenmittel  [m/s]
   197  Windrichtung; Zehnminutenmittel  [°]
   321  Original Luftfeuchtigkeit 2 m über Boden; Momentanwert  [%]
   285  Original Globalstrahlung; Zehnminutenmittel  [W/m²]

  STA JAHR MO TG HH MM    90    91   196   197   321   285
10769 2020  1  1 13 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 14  0 659.9   8.8   2.0    26  70.4    98 
10769 2020  1  1 14 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 14 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 14 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 14 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 14 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 15  0 660.2   7.6   0.9     4  82.4    60 
10769 2020  1  1 15 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 15 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 15 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 15 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 15 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 16  0 660.3   5.3   5.9   139  83.8     0 
10769 2020  1  1 16 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 16 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 16 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 16 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 16 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 17  0 660.9   4.0   8.1   138  79.9     0 
10769 2020  1  1 17 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 17 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 17 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 17 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 17 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 18  0 661.0   3.9   7.6   140  73.6     0 
10769 2020  1  1 18 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 18 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 18 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 18 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 18 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 19  0 661.2   3.7   8.8   150  75.6     0 
10769 2020  1  1 19 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 19 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 19 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 19 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 19 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 20  0 661.1   3.7   6.5   157  68.6     0 
10769 2020  1  1 20 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 20 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 20 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 20 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 20 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 21  0 661.1   4.2   4.9   145  79.4     0 
10769 2020  1  1 21 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 21 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 21 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 21 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 21 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 22  0 660.4   4.1   6.9   138  70.7     0 
10769 2020  1  1 22 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 22 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 22 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 22 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 22 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 23  0 660.1   4.2   8.0   152  78.2     0 
10769 2020  1  1 23 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 23 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 23 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 23 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1 23 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  0  0 660.1   4.5   5.9   148  88.3     0 
10769 2020  1  2  0 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  0 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  0 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  0 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  0 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  1  0 659.7   5.3  12.5   109  90.0     0 
10769 2020  1  2  1 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  1 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  1 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  1 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  1 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  2  0 660.0   4.8   9.8   111  92.1     0 
10769 2020  1  2  2 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  2 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  2 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  2 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  2 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  3  0 660.4   4.9   7.3   133  86.6     0 
10769 2020  1  2  3 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  3 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  3 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  3 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  3 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  4  0 661.1   5.3   6.0   117  86.7    22 
10769 2020  1  2  4 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  4 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  4 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  4 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  4 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  5  0 661.4   5.2   9.5   131  81.7   243 
10769 2020  1  2  5 10 32767 32767 32767 32767 32767 32767 
